model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
M391A2K43BB1-CTD,DIMM,N/A,ECC,16 GiByte,"2Rx8, 18 ICs, Single-die package",8 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M471A1K43CB1-CPB,SODIMM,N/A,non-ECC,8 GiByte,"1Rx8, 8 ICs, Single-die package",8 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M471A1K43CB1-CRC,SODIMM,N/A,non-ECC,8 GiByte,"1Rx8, 8 ICs, Single-die package",8 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M471A1K43CB1-CTD,SODIMM,N/A,non-ECC,8 GiByte,"1Rx8, 8 ICs, Single-die package",8 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M471A2K43CB1-CPB,SODIMM,N/A,non-ECC,16 GiByte,"2Rx8, 16 ICs, Single-die package",8 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M471A2K43CB1-CRC,SODIMM,N/A,non-ECC,16 GiByte,"2Rx8, 16 ICs, Single-die package",8 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M471A2K43CB1-CTD,SODIMM,N/A,non-ECC,16 GiByte,"2Rx8, 16 ICs, Single-die package",8 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M471A5244CB0-CPB,SODIMM,N/A,non-ECC,4 GiByte,"1Rx16, 16 ICs, Single-die package",8 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M471A5244CB0-CRC,SODIMM,N/A,non-ECC,4 GiByte,"1Rx16, 16 ICs, Single-die package",8 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M471A5244CB0-CTD,SODIMM,N/A,non-ECC,4 GiByte,"1Rx16, 16 ICs, Single-die package",8 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M474A1K43BB1-CTD,SODIMM,N/A,ECC,8 GiByte,"1Rx8, 18 ICs, Single-die package",8 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M386A4K40BB0-CRC,DIMM,Load-Reduced Registered,ECC,32 GiByte,"2Rx4, 36 ICs, Single-die package",8 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),"EOL, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M386A8K40BM1-CPB,DIMM,Load-Reduced Registered,ECC,64 GiByte,"4Rx4, 36 ICs, Dual-die package",8 Gbit x 2 dies,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),"EOL announced, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M386A8K40BM1-CRC,DIMM,Load-Reduced Registered,ECC,64 GiByte,"4Rx4, 36 ICs, Dual-die package",8 Gbit x 2 dies,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),"EOL announced, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M386A8K40BM2-CTD,DIMM,Load-Reduced Registered,ECC,64 GiByte,"4Rx4, 36 ICs, Dual-die package",8 Gbit x 2 dies,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),"EOL announced, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M386A8K40CM2-CRC,DIMM,Load-Reduced Registered,ECC,64 GiByte,"4Rx4, 36 ICs, Dual-die package",8 Gbit x 2 dies,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M386A8K40CM2-CTD,DIMM,Load-Reduced Registered,ECC,64 GiByte,"4Rx4, 36 ICs, Dual-die package",8 Gbit x 2 dies,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M386AAK40B40-CWD,DIMM,Load-Reduced Registered,ECC,128 GiByte,"8Rx4, 36 ICs, Quad-die package",8 Gbit x 4 dies,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M391A1G43EB1-CPB,DIMM,N/A,ECC,8 GiByte,"2Rx8, 18 ICs, Single-die package",4 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung E-die (from part number),,,Samsung (presumed),"EOL, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M391A1G43EB1-CRC,DIMM,N/A,ECC,8 GiByte,"2Rx8, 18 ICs, Single-die package",4 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung E-die (from part number),,,Samsung (presumed),"EOL, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M391A1K43BB1-CPB,DIMM,N/A,ECC,8 GiByte,"1Rx8, 9 ICs, Single-die package",8 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M391A1K43BB1-CRC,DIMM,N/A,ECC,8 GiByte,"1Rx8, 9 ICs, Single-die package",8 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
